[2026-04-03T00:44:04.830Z] GET http://localhost:3002/api/v1/system/features → 200 (6ms, 1084B)
[2026-04-03T00:44:04.834Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_475be9ec._.js → 200 (47ms, 846444B)
[2026-04-03T00:44:04.835Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_DevtoolsComponent_CDWEKZTF_c5b43fc7.js → 200 (4ms, 276B)
[2026-04-03T00:44:04.835Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (46ms, 15487B)
[2026-04-03T00:44:04.836Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_42fffd8c._.js → 200 (4ms, 288B)
[2026-04-03T00:44:04.850Z] GET http://localhost:3001/logo.svg → 304 (4ms, ?B)
[2026-04-03T00:44:43.673Z] GET http://localhost:3001/ → pending (?ms, ?B)
[2026-04-03T00:44:44.256Z] GET http://localhost:3001/_next/static/chunks/_7e1c7992._.css → 200 (20ms, 319133B)
[2026-04-03T00:44:44.256Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_a12d263b._.js → 200 (20ms, 671B)
[2026-04-03T00:44:44.256Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_react-dom_87863242._.js → 200 (374ms, 901174B)
[2026-04-03T00:44:44.256Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_next-devtools_index_adc1a8e8.js → 200 (418ms, 1484330B)
[2026-04-03T00:44:44.256Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_b7c5bb50._.js → 200 (257ms, 270289B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_ad535f31._.js → 200 (266ms, 556176B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_d4036616._.js → 200 (247ms, 189285B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/69652_%40swc_helpers_cjs_120d0889._.js → 200 (258ms, 2909B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/_a0ff3932._.js → 200 (265ms, 649B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/turbopack-_f41ff335._.js → 200 (357ms, 73465B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_83135af1._.js → 200 (357ms, 1573B)
[2026-04-03T00:44:44.270Z] GET http://localhost:3001/_next/static/chunks/_35f1d49c._.js → 200 (360ms, 192118B)
[2026-04-03T00:44:44.271Z] GET http://localhost:3001/_next/static/chunks/node_modules__pnpm_bac2f8b1._.js → 200 (409ms, 939599B)
[2026-04-03T00:44:44.271Z] GET http://localhost:3001/_next/static/chunks/app_layout_tsx_12bb8a1a._.js → 200 (359ms, 397B)
[2026-04-03T00:44:44.271Z] GET http://localhost:3001/_next/static/chunks/_4ae18c17._.js → 200 (360ms, 175067B)
[2026-04-03T00:44:44.271Z] GET http://localhost:3001/_next/static/chunks/app_page_tsx_4516514f._.js → 200 (360ms, 240B)
[2026-04-03T00:44:44.271Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_components_builtin_global-error_4516514f.js → 200 (360ms, 206B)
[2026-04-03T00:44:44.752Z] GET http://localhost:3002/api/v1/system/features → 200 (4ms, 1084B)
[2026-04-03T00:44:44.754Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_475be9ec._.js → 200 (75ms, ?B)
[2026-04-03T00:44:44.755Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_DevtoolsComponent_CDWEKZTF_c5b43fc7.js → 200 (22ms, 276B)
[2026-04-03T00:44:44.755Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (27ms, 15487B)
[2026-04-03T00:44:44.756Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_42fffd8c._.js → 200 (22ms, 288B)
[2026-04-03T00:44:44.778Z] GET http://localhost:3001/logo.svg → 304 (3ms, ?B)
[2026-04-03T00:45:01.407Z] GET http://localhost:3001/marketplace → 200 (476ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/_7e1c7992._.css → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_a12d263b._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_react-dom_87863242._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_next-devtools_index_adc1a8e8.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_b7c5bb50._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_ad535f31._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_d4036616._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/69652_%40swc_helpers_cjs_120d0889._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/_a0ff3932._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/turbopack-_f41ff335._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_83135af1._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.891Z] GET http://localhost:3001/_next/static/chunks/_35f1d49c._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/node_modules__pnpm_bac2f8b1._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/app_layout_tsx_12bb8a1a._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/_ede0b078._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/1cbf4_%40remixicon_react_index_mjs_02c40556._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/node_modules__pnpm_4d983cf8._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/app_marketplace_page_tsx_4516514f._.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_components_builtin_global-error_4516514f.js → pending (?ms, ?B)
[2026-04-03T00:45:01.892Z] GET http://localhost:3001/_next/static/chunks/app_marketplace_styles_marketplace_4c795875.css → pending (?ms, ?B)
[2026-04-03T00:45:02.365Z] GET http://localhost:3002/api/v1/system/features → 200 (56ms, 1084B)
[2026-04-03T00:45:02.390Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_475be9ec._.js → 200 (139ms, 846444B)
[2026-04-03T00:45:02.391Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_DevtoolsComponent_CDWEKZTF_c5b43fc7.js → 200 (32ms, 276B)
[2026-04-03T00:45:02.401Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (23ms, 15487B)
[2026-04-03T00:45:02.414Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_42fffd8c._.js → 200 (9ms, 288B)
[2026-04-03T00:45:02.545Z] GET http://localhost:3001/logo.svg → 304 (?ms, ?B)
[2026-04-03T00:45:02.658Z] GET https://marketplace.tinyiothub.com/api/v1/templates → pending (?ms, ?B)
[2026-04-03T00:45:02.677Z] GET https://marketplace.tinyiothub.com/api/v1/drivers → pending (?ms, ?B)
[2026-04-03T00:45:20.315Z] GET http://localhost:3001/marketplace → 200 (549ms, ?B)
[2026-04-03T00:45:20.880Z] GET http://localhost:3001/_next/static/chunks/_7e1c7992._.css → 200 (22ms, ?B)
